265,270,حي قرطبة,Qurtubah Dist.
266,270,حي الفيصلية,Al Faisaliyah Dist.
267,270,حي العزيزية,Al Aziziyah Dist.
268,270,حي القدس,Al Quds Dist.
269,270,حي الخالدية,Al Khalidiyah Dist.
270,270,حي الروضة,Ar Rawdah Dist.
271,270,حي الربوة,Ar Rabwah Dist.
272,270,حي الريان,Ar Riyan Dist.
273,270,حي النهضة,An Nahdah Dist.
274,270,حي مرخ,Margh  Dist.
275,270,حي الصناعية,As Sinaiyah Dist.
276,270,حي بدر,Badr Dist.
277,270,حي احد,Uhd Dist.
278,270,حي طويق,Tuwik Dist.
279,270,حي الفاروق,Al Farouq Dist.
280,270,حي الصديق,As Sediq Dist.
281,270,حي اليرموك,Al Yarmok Dist.
282,270,حي اليمامة,Al Yamamah Dist.
283,270,حي علقة,Alkah Dist.
284,270,حي الدرعية,Al Deriyah Dist.
285,270,حي المنتزة,Al Muntazah Dist.
286,270,حي الاندلس,Al Andalus Dist.
287,270,حي سمنان,Semnan Dist.
288,270,حي السلام,As Salam Dist.
289,270,حي السيح,As Sieh Dist.
290,270,حي عريعرة,Urierah Dist.
291,270,حي الورود,Al Wurud Dist.
292,270,حي الملك عبدالله,King Abdullah Dist.
293,270,حي الواحة,Al Wahah Dist.
294,270,حي الازدهار,Al Izdihar Dist.
295,270,حي الحمراء,Al Hamra Dist.
296,270,حي اشبيليا,Ishbiliya Dist.
297,270,حي غرناطة,Ghirnatah Dist.
298,270,حي الياسمين,Al Yasmin Dist.
299,270,حي الربيع,Ar Rabie Dist.
300,270,حي السعادة,As Saadah Dist.
301,270,حي النور,An Nur Dist.
302,270,حي الخزامى,Al Khuzama Dist.
303,270,حي النفل,An Naql Dist.
304,270,حي الخليج,Al Khalij Dist.
305,270,حي الفردوس,Al Fardus Dist.
306,270,حي المنار,Al Manar Dist.
307,270,حي القادسية,Al Qadisiyah Dist.
308,270,حي الندى,An Nada Dist.
309,270,حي الفروسية,Al Frosyah Dist.
310,270,حي السيح,As Sieh Dist.
311,270,الجوى,Al Jawa
312,270,حي الملك سلمان,King Salman Dist.
313,306,حي الورود,Al Wurud Dist.
314,306,حي الزهور,Az Zuhur Dist.
315,306,حي الاندلس,Al Andalus Dist.
316,306,حي الربيع,Ar Rabie Dist.
317,306,حي المصيف,Al Masiaf Dist.
318,306,حي الياسمين,Al Yasmin Dist.
319,306,حي الخزامى,Al Khuzama Dist.
320,306,حي غرناطة,Ghirnatah Dist.
321,306,حي الغدير,Al Ghadir Dist.
322,306,حي الصناعية,As Sinaiyah Dist.
323,306,حي النفل,An Naql Dist.
324,306,حي البستان,Al Bustan Dist.
325,306,حي النخيل,Al Nakhil Dist.
326,306,حي المروج,Al Muruj Dist.
327,418,حي شمال الاذاعة,Al Idhaah North Dist.
328,418,حي المعارض,Al Maarid Dist.
329,418,حي الاذاعة,Al Idhaah Dist.
330,418,حي الملك فهد,King Fahd Dist.
331,418,حي الملز,Al Malaz Dist.
332,418,حي الاصفر,Al Asfar Dist.
333,418,حي الحجاج,Al Hujjaj Dist.
334,418,حي المهنيين,Al Mihaniyin Dist.
335,418,حي النهضة,An Nahdah Dist.
336,418,حي الملك فيصل,King Faisal  Dist.
337,418,حي الصالحية,As Salhiyah Dist.
338,418,حي العود,Al Uud Dist.
339,418,حي المنفوحة,Al Manfuhah Dist.
340,418,حي الصناعية,As Sinaiyah Dist.
341,418,حي الخزان,Al Khazzan Dist.
342,418,حي الملك خالد,King Khalid  Dist.
343,418,حي السليمانية,As Sulaymaniyah Dist.
344,418,الجامعية,Al Jamieyah
345,443,حي الديرة القديمة,Ad Dirah Al Qadimah Dist.
346,443,حي الخالدية,Al Khalidiyah Dist.
347,443,حي العزيزية,Al Aziziyah Dist.
348,443,حي الفيصلية,Al Faisaliyah Dist.
349,443,حي الجنادرية,Al Janadriyah Dist.
350,500,المنطقة الصناعية,Industrial Area
351,500,حي غسلة,Gaslah Dist.
352,500,حي الوقف,Al Wakf Dist.
353,500,حي الشفاء,Ash Shifa Dist.
354,500,حي الملك فهد,King Fahd Dist.
355,500,حي الروضة,Ar Rawdah Dist.
356,500,حي النسيم,Al Naseem Dist.
357,500,حي الوشم,Al Washm Dist.
358,500,حي الرحبة,Al Rehab Dist.
359,574,حي الخالدية,Al Khalidiyah Dist.
360,574,حي العزيزية,Al Aziziyah Dist.
361,574,حي الياسمين,Al Yasmin Dist.
362,574,حي النزهة,An Nuzhah Dist.
363,574,حي الصناعية,As Sinaiyah Dist.
364,574,حي الديرة,Ad Dirah Dist.
365,574,حي الفيصلية,Al Faisaliyah Dist.
366,574,حي الشرفية,Ash Sharafiyah Dist.
367,574,حي النهضة,An Nahdah Dist.
368,574,حي الشفا,Ash Shifa Dist.
369,669,حي مشرفة,Mishrifah Dist.
370,669,حي النزهة,An Nuzhah Dist.
371,669,حي حطين,Hiteen Dist.
372,669,حي الملك فهد,King Fahd Dist.
373,669,حي الحرمين,Al Haramain Dist.
374,669,حي السلام,As Salam Dist.
375,669,حي الخليج,Al Khalij  Dist.
376,669,حي الديرة,Ad Dirah Dist.
377,669,حي الروضة,Ar Rawdah Dist.
378,669,حي الفيصلية,Al Faisaliyah Dist.
379,669,حي بدر,Badr Dist.
380,669,حي الربوة,Ar Rabwah Dist.
381,669,حي النهضة,An Nahdah Dist.
382,669,حي القدس,Al Quds Dist.
383,669,حي الصناعية,As Sinaiyah Dist.
384,669,حي الخالدية,Al Khalidiyah Dist.
385,669,حي العزيزية,Al Aziziyah Dist.
386,669,حي الريان,Ar Rayan Dist.
387,669,حي السنبلة,As Sunbulah Dist.
388,669,حي الدرع,Ad Dar Dist.
389,669,منطقة الاستراحات,Rest House Area
390,669,حي مصده,Musaddah Dist.
391,684,حي الشمالي,Al Shamali Dist.
392,684,حى الخزان,Al Khazzan Dist.
393,684,حي السعادة,As Saadah Dist.
394,684,حي الشفاء,Ash Shifa Dist.
395,684,حي النهضة,An Nahdah Dist.
396,684,حي العزيزية,Al Aziziyah Dist.
397,684,حي الفيحاء,Al Fayha Dist.
398,684,حي الشهداء,Ash Shuhada Dist.
399,701,حي الصناعية,Al Sinaiyah Dist.
400,701,حي فيضة الفوازين,Faydat Al Fawazin Dist.
401,701,حي التسعين,Al Teseen Dist.
402,701,حي الذيابية,Al Diyabiyah Dist.
403,701,حي برزان,Barzan Dist.
404,701,حي الياسمين,Al Yasmin Dist.
405,701,حي العقيشية,Al Aqishiyah Dist.
406,701,حي البلد,Al Balad Dist.
407,701,حي الملك فهد,King Fahd Dist.
408,701,حي المسلخ,Al Maslakh Dist.
